price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,price_12
6281,-229,3571,364,346,32,1679,-18,-47,2973
32075,1030,10557,6,233,117,933,227,116,27125
2178,-2221,2261,0,4,-152,43,4,-220,1893
10430,-146,9025,36,8,-14,203,-28,-10,12500
3910,131,4276,79,61,55,950,-18,41,3935
19275,343,12739,1,61,43,238,60,35,25675
4355,71,3546,0,13,9,73,13,8,4215
12325,431,3897,22,34,91,510,12,69,18300
5253,-56,9576,27,30,14,438,4,-6,5010
3468,-321,4143,3,-19,-31,77,-22,-38,3260
2257,283,1932,135,-8,0,44,-143,105,3880
3505,-166,1740,4,147,15,1025,143,-20,3020
3810,106,5773,34,116,125,719,82,119,3835
4812,167,4503,6,38,32,363,33,33,4860
13825,75,5539,0,127,8,255,127,10,12525
5275,105,3660,55,53,3,119,-3,15,5010
4093,-84,4922,53,16,3,390,-37,-10,3595
4140,-419,289,1,4,-4,43,3,-26,5305
927,-18,1069,5,20,-8,164,16,-6,1185
3055,16,2372,1,11,28,52,10,7,3148
3143,-236,939,12,61,8,2036,49,-122,3708
427500,1662,58570,730,-536,314,2336,-1266,246,558000
3073,58,6899,7,50,54,1268,43,11,3133
3308,63,3774,-2,6,0,147,8,5,3353
5950,56,2190,2,16,7,79,14,9,8075
4227,199,1977,3,88,86,752,86,65,4230
3413,31,5584,0,20,4,134,20,3,2870
77300,856,41121,105,554,234,3942,449,334,92700
1390,37,665,0,30,22,96,31,12,1675
2233,-17196,6953,1,-1,-7,-15,-2,-280,1190
2290,40,1916,1,20,2,99,19,12,2565
5190,44,3258,0,22,6,129,22,5,5185
16750,-311,11637,65,11,-33,330,-54,-32,16100
2187,5,888,-1,0,8,63,1,2,2850
8740,180,3248,1,15,20,190,14,26,9950
2668,-178,2021,2,7,-30,150,5,-30,2125
6115,783,6420,57,-178,165,216,-235,59,5775
3061,8,2917,26,45,0,203,18,2,2808
13476,219,3704,11,26,13,307,15,53,5403
4055,73,3449,70,-144,30,1878,-214,43,3105
18000,939,11297,49,239,98,1710,190,171,15075
12625,644,5664,42,-8,22,68,-49,35,14125
18875,19,1042,19,3,18,154,-15,16,3445
5276,204,3573,35,103,21,345,68,39,4288
7800,103,7054,0,23,19,131,23,8,7385
10950,16,8240,17,29,12,233,12,1,11325
15350,510,11466,33,212,255,1168,178,172,16625
10595,-26,2077,2,-11,45,57,-13,-5,11670
6875,81,4764,26,-71,37,626,-96,31,7915
13300,-321,3443,2,-97,-4,397,-98,-43,14025
1608,-96,1555,6,-19,2,128,-25,-17,2398
213750,4651,275872,1979,3692,1601,38988,1712,1315,269500
3883,-194,2536,0,-6,-9,27,-6,-14,3485
28175,-164,7166,2,-5,-11,40,-7,-13,36825
3830,31,5803,2,-60,23,859,-62,8,3980
25550,740,4049,2,9,46,127,7,48,27800
19575,529,8178,2,52,44,258,50,64,19675
1137,8,277,0,21,5,155,21,2,1480
7090,408,3243,0,8,28,385,7,40,7060
10925,-95,2808,7,9,-18,221,2,-11,12375
8440,-599,13501,2,-5,16,77,-7,-94,7220
19825,355,6702,0,58,48,206,58,41,21125
6725,848,3256,1,-51,71,752,-52,103,5430
546000,4131,77438,41,189,202,378,148,158,511200
95100,783,104934,199,-692,141,4791,-890,94,91700
6065,-101,2413,0,35,1,397,34,4,9555
5220,56,3189,-79,9,-1,37,89,8,5233
4092,-245,1463,0,-16,-18,51,-16,-20,5105
13475,1089,58,-2,-117,243,55,-116,1149,7835
1113,-94,1713,1,-2,-13,375,-3,-47,1078
5810,-199,6720,14,87,4,458,74,-22,5345
27050,314,5438,6,180,46,350,174,31,29500
5490,207,8497,57,70,43,557,13,33,5955
3058,-660,5076,21,10,-21,74,-11,-140,1830
6250,-1045,3528,1,12,-44,14,11,-66,7905
4895,-378,3914,1,-1,2,463,-2,-46,5570
1363,-53,525,10,0,55,95,-10,-55,977
6780,-89,4940,7,-212,-15,329,-219,-36,9115
20550,453,6590,5,-47,46,369,-52,40,16525
14375,449,8124,20,-31,187,2355,-52,143,16875
58750,1667,48036,1832,4105,2392,16106,2273,2097,53900
6970,-155,3633,1,48,-36,82,47,-21,6395
68900,709,13058,209,-101,206,2014,-311,157,84750
9565,118,13711,75,-14,48,654,-88,15,8615
7980,-72,4245,10,21,-11,48,11,-11,11850
28550,-332,2451,0,-51,-48,19,-51,-65,23150
4350,214,6217,10,62,51,463,52,33,4080
6160,-160,5535,0,46,15,111,46,-12,5930
80350,-1352,67860,23,253,48,1331,230,-114,98150
10880,202,12081,24,34,5,173,10,14,12750
4155,-107,1499,0,8,-9,58,8,-12,4288
6950,-299,5478,1,53,-42,281,52,-65,7980
4995,137,5023,36,-21,22,272,-58,15,5665
5038,-312,2641,7,-25,-28,83,-31,-32,3963
21375,2862,19387,28,525,434,2963,498,1731,18475
1925,-28,606,0,28,-9,47,28,-7,1965
32825,46,1785,1,-10,-3,37,-10,11,31100
85200,32,198415,65,126,-10,925,60,1,120500
2300,45,1448,6,23,27,243,17,16,2508
12275,145,7158,19,12,11,119,-7,17,9195
5936,-28,4304,162,127,-5,67,-34,-2,5238
19750,28,2897,10,3,2,18,-7,6,20675
1376,-98,2213,15,-29,-9,182,-44,-16,1087
10505,-54,7898,11,11,-9,79,0,-4,9275
28550,-969,23217,35,18,-49,637,-17,-33,20550
6820,-1017,2045,88,99,-64,182,11,-87,5970
77300,-213,7016,18,3,7,21,-16,-8,87100
55900,1275,23957,1,170,163,422,170,215,52350
1573,24,844,2,53,21,143,52,15,1515
126500,2050,68402,51,41,272,1900,-9,207,165000
42100,2813,31272,8,84,149,544,76,175,46925
116250,340,19925,451,-9,94,2191,-460,25,120500
3096,-40,1931,5,0,0,85,-5,-18,3048
14450,-184,11437,47,-23,23,473,-69,-25,13150
12025,-257,14967,7,133,-31,80,125,-28,13950
10500,-1324,3935,0,-20,-25,97,-20,-167,11090
1841,8,1282,7,-30,-5,72,-37,1,1803
956,-26,1492,9,-20,-23,76,-29,-20,1258
29550,-100,3626,-28,-36,-16,25,-8,-13,33675
2675,-1,618,1,-12,-5,36,-14,-1,1490
13225,362,5982,31,-59,6,175,-90,22,12100
5193,70,5858,22,25,2,79,3,5,4790
1215,108,345,0,-4,37,261,-4,43,1170
30075,174,4302,36,63,86,655,27,51,30200
4200,-82,1135,6,-34,-22,113,-39,-54,14450
34125,186,11884,58,-28,35,139,-86,19,41675
9970,-64,4303,1,29,1,67,29,-5,9510
10260,546,23900,522,72,307,5600,-450,144,10725
4112,-15,960,3,-4,-5,19,-7,-7,9095
3553,-52,1583,28,-17,-18,54,-45,-13,3918
4448,129,969,2,24,44,145,22,46,4143
2898,-122,462,1,-25,-14,52,-26,-43,1898
14875,90,3239,8,13,26,133,5,20,17650
2558,58,1105,1,15,18,80,14,15,3418
2866,85,1346,12,16,14,213,3,23,2323
22525,613,9552,18,-44,79,757,-62,68,19400
28175,551,13157,0,-253,122,774,-253,84,32475
16950,904,21323,102,299,197,3960,198,194,14400
23050,149,5808,5,59,49,149,54,24,26225
68650,499,31775,19,-45,214,2873,-64,140,75150
5310,83,8834,7,55,35,492,48,8,5150
73350,881,22826,4,238,99,158,234,94,79600
14600,6,6880,99,-76,19,622,-175,1,20125
23700,355,8307,52,-1,16,157,-53,24,22650
43075,84,18272,2,11,16,111,9,8,53900
46575,986,19227,13,46,56,528,33,62,45875
38050,-2313,70554,55,95,-64,473,40,-54,54450
39325,509,7331,31,65,45,691,34,46,34825
20500,180,4784,2,5,2,79,4,9,19425
9040,155,9745,5,25,7,134,21,6,8250
15100,554,15850,16,3,22,121,-13,22,16050
18300,247,3952,248,108,22,262,-140,50,20600
12425,412,8010,144,23,164,2049,-120,92,10550
1120,-43,235,10,-119,-11,244,-129,-28,908
29325,625,19779,12,80,133,541,68,109,48725
14050,302,19999,1,31,16,334,31,27,15150
26850,631,12462,1,118,33,122,116,45,23025
1587,-170,555,8,-90,-18,-48,-97,-84,4380
4325,-48,1975,7,-17,-23,60,-24,-19,4880
