price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,price_12
8335,-14,21533,10,60,37,1165,50,-4,7940
5321,-101,5899,303,-132,-155,7887,-435,-139,5213
30425,388,9568,40,192,305,2859,152,230,35950
1218,-84,2247,7,-19,-20,279,-26,-28,1153
2990,61,2637,10,-12,6,103,-22,8,3000
175600,2870,193778,128,65,73,520,-63,64,193150
40150,59,4616,57,18,49,999,-39,26,44425
24600,1105,31550,50,184,103,2334,134,89,25400
41375,755,44107,70,471,221,2866,401,195,62000
54400,2504,122998,3043,-716,3497,45741,-3759,3411,59600
978,3,990,9,103,10,732,94,6,961
10425,52,8863,4,15,7,289,11,5,10800
110000,3265,217363,7,18,25,962,12,22,99000
2210,-23,2690,16,2,29,1193,-14,-9,1800
19550,202,20783,34,86,94,1081,52,46,25350
1783,-188,2816,6,-38,34,1312,-44,-69,1540
6055,186,12600,91,104,117,1815,13,90,4545
187250,2533,328704,2037,710,776,9166,-1327,338,287500
6170,198,5942,109,-20,64,966,-128,83,5440
2208,17,3482,0,31,21,235,31,6,2170
14175,309,32756,33,32,53,1663,0,72,12450
340250,4885,306178,121,333,325,5554,212,298,357000
18875,348,14936,96,-53,130,1750,-148,83,26400
36375,925,60813,89,127,149,2713,39,130,35825
4251,157,5698,39,202,52,1816,162,59,4213
12400,728,23487,12,-167,149,1953,-179,111,11425
40450,407,27422,0,35,19,134,35,12,36175
17675,-682,13264,210,-18,-4,502,-227,-81,17500
103150,10792,357012,248,1723,616,11748,1475,462,117250
37600,813,57082,10,89,69,472,79,54,40175
17275,147,9485,45,-135,61,2075,-180,36,17225
6810,71,4192,5,-13,9,192,-18,7,11210
150250,4495,106322,1487,1562,2323,28712,75,1611,136250
3833,37,4231,16,0,16,289,-16,6,3805
8190,152,17193,152,17,102,1401,-136,42,7915
3370,170,931,25,343,150,1433,318,139,3603
65200,2707,147941,4,49,65,923,45,66,66050
10725,204,17287,10,-17,26,463,-27,26,10525
745,-3,777,1,-9,0,59,-10,-1,689
16725,1749,27393,2,844,204,4463,842,178,20400
14800,-644,27764,0,78,4,790,78,-103,15975
6060,81,12817,84,62,22,1450,-21,20,5625
15275,186,54316,10,-287,55,1361,-297,13,15800
48450,1967,62640,149,-1,-11,657,-150,87,43850
1520,12,1151,8,90,2,233,82,4,1735
4083,124,6928,31,-30,171,2060,-61,88,4078
59150,412,58514,42,-175,37,1748,-217,41,64100
16075,148,18588,10,-35,38,548,-45,11,16800
36400,110,16811,306,474,185,3160,168,95,37700
19200,212,3990,96,85,160,1952,-11,103,21075
1449500,6125,1709756,809,235,267,5465,-574,83,1271500
3713,-18,4305,6,-71,23,411,-77,-2,3203
3133,120,3932,6,58,38,375,53,23,2968
15525,106,5683,0,-155,48,852,-155,25,21525
48125,576,92253,25,7,36,1121,-17,18,54800
15975,367,17507,39,333,289,6137,294,390,15000
326750,9760,529695,5433,8303,13650,150772,2870,9769,335500
137250,1182,32103,160,92,136,5052,-68,102,151500
4668,33,5268,14,43,9,257,29,3,4993
13750,88,23066,3,24,21,535,21,18,13000
7520,642,11051,92,221,15,2390,129,129,8330
17750,11879,19299,63,-12,123,2571,-75,1654,14775
6850,128,9261,11,31,31,506,20,21,6860
161750,1339,331894,0,-62,7,456,-63,12,151750
56650,2984,98870,54,-69,236,758,-123,235,52200
18400,875,26620,265,564,219,3814,300,299,23150
2018,-87,1637,8,22,21,759,14,-31,2005
35550,952,23847,1289,556,320,3101,-733,295,23750
2491500,929,26375,89017,105973,98984,505475,16956,76844,2507500
