price_9,eps_gap,bps_gap,capax_gap,cfo_gap,ebit_gap,sales_gap,fcf_gap,ni_gap,binary
17850,264,70,1,-27,39,13,-27,64,0
8060,-104,90,145,-185,-69,-285,-330,-51,0
9265,56,683,0,132,-5,94,132,2,1
1813,-799,-498,0,3,-10,24,3,-432,0
2900,-1,5,-3,-53,-4,-135,-50,0,1
2070,-177,-27,0,-324,44,302,-324,-177,0
37850,32,72,19,-167,-1,18,-186,4,1
61200,-746,-125,10,213,0,-327,204,-54,1
130750,750,1658,-9,571,37,182,581,29,1
4117,95,132,-5,124,-4,28,129,25,1
1723,80,37,1,191,23,196,191,29,0
4186,241,-60,1,-42,1,84,-43,38,0
24725,313,17,-9,-416,75,113,-407,64,1
11000,464,174,-81,6085,261,59,6167,281,0
7885,69,75,-30,-51,27,99,-20,31,1
14025,-311,-11,1,228,-54,-133,227,-50,1
4691,-67,-50,-1,30,-3,-62,33,-10,0
10750,-317,335,0,46,-40,-24,46,-46,0
3873,3,28,1,4,6,32,3,1,0
13675,8,311,-123,3690,52,1277,3813,37,1
13850,412,515,-2,85,8,10,86,25,0
7360,221,383,-1,-26,-6,47,-27,27,1
1267,55,19,3,17,2,66,15,30,1
560,-132,-8,-1,-103,-64,-128,-102,-102,1
5477,-11,24,0,-22,8,-5,-23,-2,1
596,77,12,0,-31,15,18,-31,46,0
6370,-483,63,-9,6,-12,-101,15,-65,0
12325,202,582,2,14,-2,-3,14,13,1
1465,31,54,1,-30,-10,15,-32,7,1
1128,65,56,1,-29,12,63,-32,21,0
1741,-14,326,7,-90,-73,3,-96,-1,0
2025,-25,19,0,-1,-12,-11,0,-9,1
12350,-476,197,-10,1796,37,-147,1808,-284,0
1425,-31,28,7,109,-53,-95,104,-27,0
2880,17,211,27,-15,11,28,-41,7,1
5130,-280,700,1,2,-6,6,1,-45,0
4750,306,128,-1,92,22,80,92,52,1
20250,635,711,-332,-242,149,556,91,117,1
5476,42,79,1,-107,11,-86,-108,38,0
1928,-6,76,1,-5,-2,-6,-6,-2,0
6080,20,145,0,156,16,136,157,4,1
1963,34,-12,2,-49,10,10,-52,9,0
4990,-210,-339,-23,137,-7,-139,160,-46,1
7140,558,259,17,57,0,-189,40,113,1
6693,275,122,-5,91,50,-37,97,46,0
8635,88,230,9,54,-16,-62,46,17,0
9985,-13,-356,129,62,24,21,-68,2,0
107000,290,2370,-533,6343,-90,-170,6874,395,1
719,-20,-4,0,51,-24,-76,53,-20,0
18500,-540,590,-11,-58,-73,-47,-48,-154,1
17025,-469,964,-1,-3132,691,3867,-3131,-636,0
24600,731,475,-21,1161,146,396,1182,133,1
32125,159,2267,1027,7103,-2226,-4333,6076,572,0
14150,-303,-222,-314,-1001,-196,-25,-687,-311,1
16025,150,441,-75,-444,97,298,-368,83,0
273250,-2628,7808,-2556,14088,-6051,-10947,16644,-4934,1
4502,-8,-13,-3,-6,-4,-18,-4,-3,1
10340,355,72,5,-139,36,428,-145,59,1
4395,1244,-26,-22,879,-66,-3057,900,713,0
5107,134,189,0,-2,7,-4,-2,12,1
35025,-91,499,-100,-1062,-269,-360,-963,-194,1
4372,86,37,0,-3,7,5,-2,17,1
751500,-981,20453,476,943,-56,474,467,-395,1
3378,-13,-64,-1,6,-14,-11,7,1,0
11875,511,94,28,197,-133,2302,169,169,1
4920,-44,-78,8,20,-28,-20,12,-19,1
1965,70,87,-2,39,-10,-17,40,55,0
131750,-627,2116,-46,-229,63,246,-185,-420,1
203000,626,7281,-135,88,112,170,223,21,1
6260,1,240,33,-129,180,172,-163,89,0
1083,6,-29,-7,537,-116,-282,543,2,1
9180,47,106,0,-13,-19,-38,-13,15,1
8605,698,551,18,329,216,372,311,280,1
7645,-109,-129,-18,12,-8,28,31,-15,1
1198,12,38,1,17,4,12,16,9,1
1167,-11,-18,0,-13,-9,0,-13,-4,1
2585,9,28,0,3,-4,-5,3,2,1
41775,969,1574,-3,113,47,152,117,58,1
7310,85,241,1,96,0,12,95,26,0
1338,149,-69,-1,-15,4,7,-14,24,1
3772,-8,30,-557,-17,54,289,540,-6,1
43525,-8185,-2273,142,5912,-8609,-36924,5770,-7588,0
178550,-983,-9453,-130,-616,-71,-75,-486,-104,1
15100,646,750,16,-213,-80,-2,-229,337,1
2510,2,27,31,-58,-25,-68,-88,1,0
437250,599,17586,48,-1021,72,191,-1069,134,1
11775,-37,438,3,-144,97,367,-147,-13,1
581,7,8,7,49,7,21,43,24,1
4408,5,130,0,6,0,4,7,1,0
6550,-132,46,0,-48,-27,-53,-48,-19,1
2835,69,86,21,-70,34,78,-91,48,0
23775,350,960,-20,-653,24,71,-634,35,0
4445,65,195,4,233,10,100,229,11,1
64900,1156,2,-137,-413,53,-34,-277,194,1
9600,105,265,21,76,0,45,54,24,1
